,0
0,https://www.wineenthusiast.com/buying-guide/cavit-2022-pinot-grigio-pinot-grigio-valdadige/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#435723&indexName=PROD_WINEENTHUSIAST_REVIEWS
1,https://www.wineenthusiast.com/buying-guide/thacher-2019-hastings-ranch-vineyard-blanc-de-blanc-viognier-paso-robles/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#431064&indexName=PROD_WINEENTHUSIAST_REVIEWS
2,https://www.wineenthusiast.com/buying-guide/lackner-tinnacher-2020-ried-flamberg-sauvignon-blanc-sudsteiermark/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434893&indexName=PROD_WINEENTHUSIAST_REVIEWS
3,https://www.wineenthusiast.com/buying-guide/canoe-ridge-2020-the-explorer-cabernet-sauvignon-horse-heaven-hills/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434892&indexName=PROD_WINEENTHUSIAST_REVIEWS
4,https://www.wineenthusiast.com/buying-guide/chateau-ste-michelle-2020-cold-creek-vineyard-cabernet-sauvignon-columbia-valley-wa/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434891&indexName=PROD_WINEENTHUSIAST_REVIEWS
5,https://www.wineenthusiast.com/buying-guide/chateau-ste-michelle-2022-riesling-columbia-valley-wa/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434890&indexName=PROD_WINEENTHUSIAST_REVIEWS
6,https://www.wineenthusiast.com/buying-guide/chateau-ste-michelle-2022-dry-riesling-columbia-valley-wa/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434889&indexName=PROD_WINEENTHUSIAST_REVIEWS
7,https://www.wineenthusiast.com/buying-guide/chateau-ste-michelle-2022-rose-columbia-valley-wa/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434888&indexName=PROD_WINEENTHUSIAST_REVIEWS
8,https://www.wineenthusiast.com/buying-guide/elk-cove-2022-estate-pinot-blanc-willamette-valley/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434886&indexName=PROD_WINEENTHUSIAST_REVIEWS
9,https://www.wineenthusiast.com/buying-guide/elk-cove-2021-estate-riesling-willamette-valley/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434885&indexName=PROD_WINEENTHUSIAST_REVIEWS
10,https://www.wineenthusiast.com/buying-guide/elk-cove-2022-pinot-gris-willamette-valley/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434884&indexName=PROD_WINEENTHUSIAST_REVIEWS
11,https://www.wineenthusiast.com/buying-guide/a56-2020-cabernet-sauvignon-red-mountain/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434883&indexName=PROD_WINEENTHUSIAST_REVIEWS
12,https://www.wineenthusiast.com/buying-guide/chasing-rain-2020-red-red-mountain/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434882&indexName=PROD_WINEENTHUSIAST_REVIEWS
13,https://www.wineenthusiast.com/buying-guide/10000-hours-2020-cabernet-sauvignon-red-mountain/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434881&indexName=PROD_WINEENTHUSIAST_REVIEWS
14,https://www.wineenthusiast.com/buying-guide/a56-2020-red-red-mountain/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434880&indexName=PROD_WINEENTHUSIAST_REVIEWS
15,https://www.wineenthusiast.com/buying-guide/long-shadows-2019-pedestal-merlot-columbia-valley-wa/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434879&indexName=PROD_WINEENTHUSIAST_REVIEWS
16,https://www.wineenthusiast.com/buying-guide/long-shadows-2019-saggi-red-columbia-valley-wa/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434878&indexName=PROD_WINEENTHUSIAST_REVIEWS
17,https://www.wineenthusiast.com/buying-guide/long-shadows-2019-sequel-syrah-columbia-valley-wa/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434877&indexName=PROD_WINEENTHUSIAST_REVIEWS
18,https://www.wineenthusiast.com/buying-guide/succession-2022-riverview-vineyard-chenin-blanc-wahluke-slope/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434876&indexName=PROD_WINEENTHUSIAST_REVIEWS
19,https://www.wineenthusiast.com/buying-guide/succession-2021-syrah-yakima-valley/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434875&indexName=PROD_WINEENTHUSIAST_REVIEWS
20,https://www.wineenthusiast.com/buying-guide/succession-2021-ancient-stones-vineyard-syrah-walla-walla-valley-wa/?queryID=19c18dbe9fa92ef9976a421cd66ad894&objectID=wine#434874&indexName=PROD_WINEENTHUSIAST_REVIEWS
21,https://www.wineenthusiast.com/buying-guide/succession-2022-our-evolution-white-columbia-valley-wa/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434873&indexName=PROD_WINEENTHUSIAST_REVIEWS
22,https://www.wineenthusiast.com/buying-guide/drum-roll-2021-seurat-syrah-horse-heaven-hills/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434872&indexName=PROD_WINEENTHUSIAST_REVIEWS
23,https://www.wineenthusiast.com/buying-guide/drum-roll-2022-white-white-yakima-valley/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434871&indexName=PROD_WINEENTHUSIAST_REVIEWS
24,https://www.wineenthusiast.com/buying-guide/cavatappi-2022-pinot-grigio-columbia-valley-wa/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434870&indexName=PROD_WINEENTHUSIAST_REVIEWS
25,https://www.wineenthusiast.com/buying-guide/cinder-2020-tempranillo/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434869&indexName=PROD_WINEENTHUSIAST_REVIEWS
26,https://www.wineenthusiast.com/buying-guide/archetype12-2021-the-sovereign-mourvedre-red-mountain/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434868&indexName=PROD_WINEENTHUSIAST_REVIEWS
27,https://www.wineenthusiast.com/buying-guide/archetype12-2021-the-citizen-pinot-noir-willamette-valley/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434867&indexName=PROD_WINEENTHUSIAST_REVIEWS
28,https://www.wineenthusiast.com/buying-guide/battle-creek-2022-limited-edition-pinot-noir-rose-umpqua-valley/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434866&indexName=PROD_WINEENTHUSIAST_REVIEWS
29,https://www.wineenthusiast.com/buying-guide/resonance-2021-resonance-vineyard-pinot-noir-yamhill-carlton/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434865&indexName=PROD_WINEENTHUSIAST_REVIEWS
30,https://www.wineenthusiast.com/buying-guide/battle-creek-2022-amphora-riesling-semillon-white-oregon/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434864&indexName=PROD_WINEENTHUSIAST_REVIEWS
31,https://www.wineenthusiast.com/buying-guide/jacques-lorent-nv-grande-reserve-brut-champagne/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434863&indexName=PROD_WINEENTHUSIAST_REVIEWS
32,https://www.wineenthusiast.com/buying-guide/casa-s-2021-block-oneclone-91-pinot-noir-willamette-valley/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434862&indexName=PROD_WINEENTHUSIAST_REVIEWS
33,https://www.wineenthusiast.com/buying-guide/casa-s-2021-block-twoclone-91-pinot-noir-willamette-valley/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434858&indexName=PROD_WINEENTHUSIAST_REVIEWS
34,https://www.wineenthusiast.com/buying-guide/thierry-fournier-nv-reserve-brut-champagne/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434857&indexName=PROD_WINEENTHUSIAST_REVIEWS
35,https://www.wineenthusiast.com/buying-guide/thierry-fournier-2018-millesime-blanc-de-blancs-brut-chardonnay-champagne/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434856&indexName=PROD_WINEENTHUSIAST_REVIEWS
36,https://www.wineenthusiast.com/buying-guide/guerrilla-wine-co-2022-ennui-chardonnay-eola-amity-hills/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434855&indexName=PROD_WINEENTHUSIAST_REVIEWS
37,https://www.wineenthusiast.com/buying-guide/j-k-carriere-2021-st-dolores-estate-pinot-noir-willamette-valley/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434854&indexName=PROD_WINEENTHUSIAST_REVIEWS
38,https://www.wineenthusiast.com/buying-guide/cristom-2021-jessie-vineyard-pinot-noir-eola-amity-hills/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434853&indexName=PROD_WINEENTHUSIAST_REVIEWS
39,https://www.wineenthusiast.com/buying-guide/lancelot-pienne-nv-accord-majeur-assemblage-brut-champagne/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434852&indexName=PROD_WINEENTHUSIAST_REVIEWS
40,https://www.wineenthusiast.com/buying-guide/cristom-2021-paul-gerrie-vineyard-pinot-noir-eola-amity-hills/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434851&indexName=PROD_WINEENTHUSIAST_REVIEWS
41,https://www.wineenthusiast.com/buying-guide/lancelot-pienne-nv-instant-present-blanc-de-blancs-brut-chardonnay-champagne/?queryID=965a27579944ca369f248b6c2af57830&objectID=wine#434850&indexName=PROD_WINEENTHUSIAST_REVIEWS
42,https://www.wineenthusiast.com/buying-guide/lancelot-pienne-2017-marie-lancelot-chardonnay-grand-cru-extra-brut-chardonnay-champagne/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434849&indexName=PROD_WINEENTHUSIAST_REVIEWS
43,https://www.wineenthusiast.com/buying-guide/lancelot-pienne-nv-table-ronde-blanc-de-blancs-extra-brut-chardonnay-champagne/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434848&indexName=PROD_WINEENTHUSIAST_REVIEWS
44,https://www.wineenthusiast.com/buying-guide/cristom-2021-seven-springs-chardonnay-eola-amity-hills/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434847&indexName=PROD_WINEENTHUSIAST_REVIEWS
45,https://www.wineenthusiast.com/buying-guide/chassenay-darce-2014-pinot-blanc-extra-brut-pinot-blanc-champagne/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434846&indexName=PROD_WINEENTHUSIAST_REVIEWS
46,https://www.wineenthusiast.com/buying-guide/chassenay-darce-2014-blanc-de-noirs-extra-brut-champagne/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434845&indexName=PROD_WINEENTHUSIAST_REVIEWS
47,https://www.wineenthusiast.com/buying-guide/chassenay-darce-2014-blanc-de-blancs-brut-chardonnay-champagne/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434844&indexName=PROD_WINEENTHUSIAST_REVIEWS
48,https://www.wineenthusiast.com/buying-guide/casa-s-2021-block-fourclone-71-pinot-noir-willamette-valley/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434843&indexName=PROD_WINEENTHUSIAST_REVIEWS
49,https://www.wineenthusiast.com/buying-guide/resonance-2021-decouverte-vineyard-pinot-noir-dundee-hills/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434841&indexName=PROD_WINEENTHUSIAST_REVIEWS
50,https://www.wineenthusiast.com/buying-guide/vollereaux-nv-blanc-de-blancs-brut-chardonnay-champagne/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434840&indexName=PROD_WINEENTHUSIAST_REVIEWS
51,https://www.wineenthusiast.com/buying-guide/boizel-2007-joyau-de-france-chardonnay-chardonnay-champagne/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434839&indexName=PROD_WINEENTHUSIAST_REVIEWS
52,https://www.wineenthusiast.com/buying-guide/j-k-carriere-2021-vespidae-pinot-noir-willamette-valley/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434838&indexName=PROD_WINEENTHUSIAST_REVIEWS
53,https://www.wineenthusiast.com/buying-guide/boizel-2008-joyau-brut-champagne/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434837&indexName=PROD_WINEENTHUSIAST_REVIEWS
54,https://www.wineenthusiast.com/buying-guide/cristom-2021-louise-vineyard-pinot-noir-eola-amity-hills/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434836&indexName=PROD_WINEENTHUSIAST_REVIEWS
55,https://www.wineenthusiast.com/buying-guide/boizel-2013-grand-vintage-champagne/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434835&indexName=PROD_WINEENTHUSIAST_REVIEWS
56,https://www.wineenthusiast.com/buying-guide/battle-creek-2022-reserve-chardonnay-willamette-valley/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434834&indexName=PROD_WINEENTHUSIAST_REVIEWS
57,https://www.wineenthusiast.com/buying-guide/resonance-2021-chardonnay-willamette-valley/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434833&indexName=PROD_WINEENTHUSIAST_REVIEWS
58,https://www.wineenthusiast.com/buying-guide/lima-smith-2022-covela-alvarinho-alvarinho-vinho-verde/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434832&indexName=PROD_WINEENTHUSIAST_REVIEWS
59,https://www.wineenthusiast.com/buying-guide/lima-smith-2022-covela-touriga-nacional-rose-minho/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434831&indexName=PROD_WINEENTHUSIAST_REVIEWS
60,https://www.wineenthusiast.com/buying-guide/lima-smith-2021-flor-das-tecedeiras-red-douro/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434830&indexName=PROD_WINEENTHUSIAST_REVIEWS
61,https://www.wineenthusiast.com/buying-guide/lima-smith-2019-tecedeiras-reserva-red-douro/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434829&indexName=PROD_WINEENTHUSIAST_REVIEWS
62,https://www.wineenthusiast.com/buying-guide/lima-smith-2022-covela-avesso-vinho-verde/?queryID=f6bc878e63c99c933412cd0b22730028&objectID=wine#434828&indexName=PROD_WINEENTHUSIAST_REVIEWS
63,https://www.wineenthusiast.com/buying-guide/lima-smith-2022-flor-das-tecedeiras-white-douro/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434827&indexName=PROD_WINEENTHUSIAST_REVIEWS
